Port;Protocol;Description;
0;TCP;Programming technique for specifying system-allocated (dynamic) ports;
0;UDP;Reserved;
1;TCP, UDP;TCP Port Service Multiplexer (TCPMUX);
2;TCP, UDP;CompressNET;
3;TCP, UDP;CompressNET};
4;TCP, UDP;Unassigned;
5;TCP, UDP;Remote Job Entry;
6;TCP, UDP;Unassigned;
7;TCP, UDP;Echo Protocol;
8;TCP, UDP;Unassigned;
9;TCP, UDP;Discard Protocol;
9;UDP;Wake-on-LAN;
10;TCP, UDP;Unassigned;
11;TCP, UDP;Active Users (systat;
12;TCP, UDP;Unassigned;
13;TCP, UDP;Daytime Protocol (RFC 867);
14;TCP, UDP;Unassigned;
15;TCP, UDP;Previously netstat service;
16;TCP, UDP;Unassigned;
17;TCP, UDP;Quote of the Day;
18;TCP, UDP;Message Send Protocol;
19;TCP, UDP;Character Generator Protocol (CHARGEN);
20;TCP, UDP;FTP data transfer;
21;TCP, SCTP, UDP;FTP control (command);
22;TCP, SCTP, UDP;Secure Shell (SSH)—used for secure logins, file transfers (scp, sftp) and port forwarding;
23;TCP, UDP;Telnet protocol—unencrypted text communications;
24;TCP, UDP;Priv-mail: any private mail system.;
25;TCP, UDP;Simple Mail Transfer Protocol (SMTP)—used for e-mail routing between mail servers;
26;TCP, UDP;Unassigned;
27;TCP, UDP;NSW User System FE;
29;TCP, UDP;MSG ICP;
33;TCP, UDP;Display Support Protocol;
35;TCP, UDP;Any private printer server protocol;
37;TCP, UDP;TIME protocol;
39;TCP, UDP;Resource Location Protocol (RLP)—used for determining the location of higher level services from hosts on a network;
40;TCP, UDP;Unassigned;
42;TCP, UDP;ARPA Host Name Server Protocol;
42;TCP, UDP;Windows Internet Name Service;
43;TCP, UDP;WHOIS protocol;
47;TCP, UDP;NI FTP;
49;TCP, UDP;TACACS Login Host protocol;
50;TCP, UDP;Remote Mail Checking Protocol;
51;TCP, UDP;IMP Logical Address Maintenance;
52;TCP, UDP;XNS (Xerox Network Systems) Time Protocol;
53;TCP, UDP;Domain Name System (DNS);
54;TCP, UDP;XNS (Xerox Network Systems) Clearinghouse;
55;TCP, UDP;ISI Graphics Language (ISI-GL);
56;TCP, UDP;XNS (Xerox Network Systems) Authentication;
56;TCP, UDP;Route Access Protocol (RAP);
57;TCP, UDP;any private terminal access;
58;TCP, UDP;XNS (Xerox Network Systems) Mail;
64;TCP, UDP;CI (Travelport) (formerly Covia) Comms Integrator;
67;TCP, UDP;"Bootstrap Protocol (BOOTP) Server; also used by Dynamic Host Configuration Protocol (DHCP)";
68;TCP, UDP;"Bootstrap Protocol (BOOTP) Client; also used by Dynamic Host Configuration Protocol (DHCP)";
69;TCP, UDP;Trivial File Transfer Protocol (TFTP);
70;TCP, UDP;Gopher protocol;
71;TCP, UDP;NETRJS protocol;
72;TCP, UDP;NETRJS protocol;
73;TCP, UDP;NETRJS protocol;
74;TCP, UDP;NETRJS protocol;
77;TCP, UDP;Any private Remote Job Entry;
79;TCP, UDP;Finger protocol;
80;TCP, SCTP, UDP;Hypertext Transfer Protocol (HTTP);
80;UDP;QUIC (from Chromium) for HTTP;
81;TCP;Torpark—Onion routing;
82;UDP;Torpark—Control;
88;TCP, UDP;Kerberos—authentication system;
90;TCP, UDP;dnsix (DoD Network Security for Information Exchange) Securit Attribute Token Map;
90;TCP, UDP;PointCast (dotcom);
99;TCP;WIP Message protocol;
100;UDP;CyberGate RAT protocol;
101;TCP;NIC host name;
102;TCP;"ISO-TSAP (Transport Service Access Point) Class 0 protocol; also used by Digital Equipment Corporation DECnet (Phase V+) over TCP/IP";
104;TCP, UDP;ACR/NEMA Digital Imaging and Communications in Medicine (DICOM);
105;TCP, UDP;CCSO Nameserver Protocol (Qi/Ph);
107;TCP;Remote TELNET Service protocol;
108;TCP, UDP;SNA Gateway Access Server;
109;TCP;Post Office Protocol v2 (POP2);
110;TCP;Post Office Protocol v3 (POP3);
111;TCP, UDP;ONC RPC (Sun RPC);
113;TCP;Ident—Authentication Service/Identification Protocol, used by IRC servers to identify users;
113;UDP;Authentication Service (auth);
115;TCP;Simple File Transfer Protocol;
117;STD;UUCP Path Service;
118;TCP, UDP;SQL (Structured Query Language) Services;
119;TCP;Network News Transfer Protocol (NNTP)—retrieval of newsgroup messages;
123;TCP, UDP;Network Time Protocol (NTP)—used for time synchronization;
126;TCP, UDP;Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development;
135;TCP, UDP;DCE endpoint resolution;
135;TCP, UDP;Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service, used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM;
137;TCP, UDP;NetBIOS NetBIOS Name Service;
138;TCP, UDP;NetBIOS NetBIOS Datagram Service;
139;TCP, UDP;NetBIOS NetBIOS Session Service;
143;TCP;Internet Message Access Protocol (IMAP)—management of email messages;
152;TCP, UDP;Background File Transfer Program (BFTP);
153;TCP, UDP;SGMP, Simple Gateway Monitoring Protocol;
156;TCP, UDP;SQL Service;
158;TCP, UDP;DMSP, Distributed Mail Service Protocol;
161;UDP;Simple Network Management Protocol (SNMP);
162;TCP, UDP;Simple Network Management Protocol Trap (SNMPTRAP);
170;TCP;Print-srv, Network PostScript;
175;TCP;VMNET (IBM z/VM, z/OS & z/VSE—Network Job Entry (NJE));
177;TCP, UDP;X Display Manager Control Protocol (XDMCP);
179;TCP;BGP (Border Gateway Protocol);
194;TCP, UDP;Internet Relay Chat (IRC);
199;TCP, UDP;SMUX, SNMP Unix Multiplexer;
201;TCP, UDP;AppleTalk Routing Maintenance;
209;TCP, UDP;The Quick Mail Transfer Protocol;
210;TCP, UDP;ANSI Z39.50;
213;TCP, UDP;Internetwork Packet Exchange (IPX);
218;TCP, UDP;Message posting protocol (MPP);
220;TCP, UDP;Internet Message Access Protocol (IMAP), version 3;
259;TCP, UDP;ESRO, Efficient Short Remote Operations;
264;TCP, UDP;BGMP, Border Gateway Multicast Protocol;
280;TCP, UDP;http-mgmt;
300;TCP;ThinLinc Web Access;
308;TCP;Novastor Online Backup;
311;TCP;Mac OS X Server Admin (officially AppleShare IP Web administration);
318;TCP, UDP;PKIX TSP, Time Stamp Protocol;
319;UDP;Precision Time Protocol event messages;
320;UDP;Precision Time Protocol general messages;
350;TCP, UDP;MATIP-Type A, Mapping of Airline Traffic over Internet Protocol;
351;TCP, UDP;MATIP-Type B, Mapping of Airline Traffic over Internet Protocol;
356;TCP, UDP;cloanto-net-1 (used by Cloanto Amiga Explorer and VMs);
366;TCP, UDP;ODMR, On-Demand Mail Relay;
369;TCP, UDP;Rpc2portmap;
370;TCP;codaauth2—Coda authentication server;
370;UDP;codaauth2—Coda authentication server;
370;UDP;securecast1—Outgoing packets to NAI's SecureCast serversAs of 2000 ;
371;TCP, UDP;ClearCase albd;
383;TCP, UDP;HP data alarm manager;
384;TCP, UDP;A Remote Network Server System;
387;TCP, UDP;AURP, AppleTalk Update-based Routing Protocol;
389;TCP, UDP;Lightweight Directory Access Protocol (LDAP);
399;TCP, UDP;Digital Equipment Corporation DECnet (Phase V+) over TCP/IP;
401;TCP, UDP;UPS Uninterruptible Power Supply;
427;TCP, UDP;Service Location Protocol (SLP);
433;TCP, UDP;NNSP, part of Network News Transfer Protocol;
443;TCP;Hypertext Transfer Protocol over TLS/SSL (HTTPS);
443;UDP;QUIC (from Chromium) for HTTPS;
444;TCP, UDP;SNPP, Simple Network Paging Protocol (RFC 1568);
445;TCP;Microsoft-DS Active Directory, Windows shares;
445;TCP;Microsoft-DS SMB file sharing;
464;TCP, UDP;Kerberos Change/Set password;
465;TCP;URL Rendezvous Directory for SSM (Cisco protocol);
465;TCP;Simple Mail Transfer Protocol over TLS/SSL (SMTPS);
475;TCP, UDP;tcpnethaspsrv (Aladdin Knowledge Systems Hasp services, TCP/IP version);
491;TCP;GO-Global remote access and application publishing software;
497;TCP;Dantz Retrospect;
500;TCP, UDP;Internet Security Association and Key Management Protocol (ISAKMP);
502;TCP, UDP;Modbus, Protocol;
504;TCP, UDP;Citadel—multiservice protocol for dedicated clients for the Citadel groupware system;
510;TCP, UDP;FirstClass Protocol (FCP), used by FirstClass client/server groupware system;
512;TCP;Rexec, Remote Process Execution;
512;UDP;comsat, together with biff;
513;TCP;rlogin;
513;UDP;Who;
514;TCP;Shell—used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh);
514;UDP;Syslog—used for system logging;
515;TCP;Line Printer Daemon—print service;
517;UDP;Talk;
518;UDP;NTalk;
520;TCP;efs, extended file name server;
520;UDP;Routing Information Protocol (RIP);
521;UDP;Routing Information Protocol Next Generation (RIPng);
524;TCP, UDP;NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.;
525;UDP;Timed, Timeserver;
530;TCP, UDP;RPC;
531;TCP, UDP;AOL Instant Messenger;
532;TCP;netnews;
533;UDP;netwall, For Emergency Broadcasts;
540;TCP;UUCP (Unix-to-Unix Copy Protocol);
542;TCP, UDP;commerce (Commerce Applications);
543;TCP;klogin, Kerberos login;
544;TCP;kshell, Kerberos Remote shell;
545;TCP;OSIsoft PI (VMS), OSISoft PI Server Client Access;
546;TCP, UDP;DHCPv6 client;
547;TCP, UDP;DHCPv6 server;
548;TCP;Apple Filing Protocol (AFP) over TCP;
550;TCP, UDP;new-rwho, new-who;
554;TCP, UDP;Real Time Streaming Protocol (RTSP);
556;TCP;Remotefs, RFS, rfs_server;
560;UDP;rmonitor, Remote Monitor;
561;UDP;monitor;
563;TCP, UDP;NNTP over TLS/SSL (NNTPS);
564;TCP;Plan9;
587;TCP;e-mail message submission (SMTP);
591;TCP;FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80);
593;TCP, UDP;HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server;
604;TCP;TUNNEL profile, a protocol for BEEP peers to form an application layer tunnel;
623;UDP;ASF Remote Management and Control Protocol (ASF-RMCP);
625;TCP;Open Directory Proxy (ODProxy);
631;TCP, UDP;Internet Printing Protocol (IPP);
631;TCP, UDP;Common Unix Printing System (CUPS) administration console (extension to IPP);
635;TCP, UDP;RLZ DBase;
636;TCP, UDP;Lightweight Directory Access Protocol over TLS/SSL (LDAPS);
639;TCP, UDP;MSDP, Multicast Source Discovery Protocol;
641;TCP, UDP;SupportSoft Nexus Remote Command (control/listening): A proxy gateway connecting remote control traffic;
643;TCP, UDP;SANity;
646;TCP, UDP;LDP, Label Distribution Protocol, a routing protocol used in MPLS networks;
647;TCP;DHCP Failover protocol;
648;TCP;RRP (Registry Registrar Protocol);
651;TCP, UDP;IEEE-MMS;
653;TCP, UDP;SupportSoft Nexus Remote Command (data): A proxy gateway connecting remote control traffic;
654;TCP;Media Management System (MMS) Media Management Protocol (MMP);
657;TCP, UDP;IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM) and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration;
660;TCP;Mac OS X Server administration;
666;TCP, UDP;Doom, first online first-person shooter;
666;TCP;airserv-ng, aircrack-ng's server for remote-controlling wireless devices;
674;TCP;ACAP (Application Configuration Access Protocol);
688;TCP, UDP;REALM-RUSD (ApplianceWare Server Appliance Management Protocol);
690;TCP, UDP;VATP (Velneo Application Transfer Protocol);
691;TCP;MS Exchange Routing;
694;TCP, UDP;Linux-HA High availability Heartbeat;
695;TCP;IEEE-MMS-SSL (IEEE Media Management System over SSL);
698;UDP;OLSR (Optimized Link State Routing);
700;TCP;EPP (Extensible Provisioning Protocol), a protocol for communication between domain name registries and registrars (RFC 5734);
701;TCP;LMP (Link Management Protocol (Internet)), a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links;
702;TCP;IRIS (RFC 3983);
706;TCP;Secure Internet Live Conferencing (SILC);
711;TCP;Cisco Tag Distribution Protocol;
712;TCP;Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF) (RFC 3684);
749;TCP, UDP;Kerberos (protocol) administration;
750;UDP;kerberos-iv, Kerberos version IV;
751;TCP, UDP;kerberos_master, Kerberos authentication;
752;UDP;passwd_server, Kerberos Password (kpasswd) server;
753;TCP;Reverse Routing Header (rrh);
753;UDP;Reverse Routing Header (rrh);
753;UDP;userreg_server, Kerberos userreg server;
754;TCP;tell send;
754;TCP;krb5_prop, Kerberos v5 slave propagation;
754;UDP;tell send;
760;TCP, UDP;krbupdate , Kerberos registration;
782;TCP;Conserver serial-console management server;
783;TCP;SpamAssassin spamd daemon;
800;UDP;mdbe daemon;
808;TCP;Microsoft Net.TCP Port Sharing Service;
829;TCP;Certificate Management Protocol;
843;TCP;Adobe Flash;
847;TCP;DHCP Failover protocol;
848;TCP, UDP;Group Domain Of Interpretation (GDOI) protocol;
860;TCP;iSCSI (RFC 3720);
861;TCP, UDP;OWAMP control (RFC 4656);
862;TCP, UDP;TWAMP control (RFC 5357);
873;TCP;rsync file synchronization protocol;
888;TCP;cddbp, CD DataBase (CDDB) protocol (CDDBP), IBM Endpoint Manager Remote Control;
897;TCP, UDP;Brocade SMI-S RPC;
898;TCP, UDP;Brocade SMI-S RPC SSL;
901;TCP;Samba Web Administration Tool (SWAT);
901;TCP, UDP;VMware Virtual Infrastructure Client (from managed device to management console);
902;TCP, UDP;ideafarm-door (IdeaFarm (tm) Operations);
902;TCP, UDP;VMware Server Console (from management console to managed device);
903;TCP, UDP;ideafarm-panic (IdeaFarm (tm) Operations);
903;TCP;VMaware Remote Console;
904;TCP;VMware Server Alternate (if 902 is in use, i.e. SUSE linux);
911;TCP;Network Console on Acid (NCA)—local tty redirection over OpenSSH;
944;UDP;Network File System Service;
953;TCP, UDP;Domain Name System (DNS) RNDC Service;
973;UDP;Network File System over IPv6 Service;
981;TCP;SofaWare Technologies Remote HTTPS management for firewall devices running embedded Check Point FireWall-1 software;
987;TCP;Microsoft Windows SBS SharePoint;
989;TCP, UDP;FTPS Protocol (data): FTP over TLS/SSL;
990;TCP, UDP;FTPS Protocol (control): FTP over TLS/SSL;
991;TCP, UDP;NAS (Netnews Administration System);
992;TCP, UDP;TELNET protocol over TLS/SSL;
993;TCP;Internet Message Access Protocol over TLS/SSL (IMAPS);
994;TCP, UDP;Internet Relay Chat over TLS/SSL (IRCS);
995;TCP;Post Office Protocol 3 over TLS/SSL (POP3S);
999;TCP;ScimoreDB Database System;
1002;TCP;Opsware agent (aka cogbot);
1010;TCP;ThinLinc Web Administration;
1023;TCP, UDP;Reserved;